"","difficulty","discrimination"
"question_1583",-0.509892457975975,0.695734291928062
"question_1584",-0.263706270197521,1.05224190841186
"question_1585",0.354966337041448,1.22656675380904
"question_1586",0.952347307263534,0.672596215447177
"question_1587",-0.17881337006036,2.0580137601067
"question_1588",0.169634285103316,1.56701761856994
"question_1590",-2.34489167025225,2.11609284215281
"question_1591",-0.331156206351058,1.46552574348033
"question_1592",-2.16740724088715,1.77033008347147
"question_1593",-1.81251400448775,1.57178209684837
"question_1594",-0.946422157142255,0.661676482204887
"question_1595",-0.540670438030391,0.711195249283705
"question_1596",-0.835948614855104,0.996354894460264
"question_1597",0.177574285187707,1.33773210644102
"question_1598",0.391686435244537,1.43802583086931
"question_1600",-1.16970164508654,1.795844985504
"question_1601",-1.59043517553625,2.18326903935697
"question_1602",0.59717922523901,1.25196129217406
"question_1603",-2.03213541271861,1.17706850360398
"question_1604",-1.96505816555715,1.54996317293288
"question_1605",-0.689119512769941,2.04189397027141
"question_1606",-1.15953481123987,0.67072156161257
"question_1607",-1.25170813535495,0.981250486540591
"question_1608",-0.85378671495898,1.71223215862615
"question_1609",-2.17098856287138,0.510814662886857
"question_1610",0.527956760399826,1.44522055705446
"question_1611",-0.411359664445072,1.3504439215901
"question_1612",2.98297243607312,0.826512121644705
"question_1613",0.147286737650853,1.27045208571215
"question_1614",2.50332450501464,0.610766385144263
"question_1615",0.307902901645024,1.50925175101821
"question_1616",2.73235121656199,1.1126354876062
"question_1617",1.13667786801542,0.808579981041001
"question_1618",-0.275244919001307,1.12452154183636
"question_1619",-1.29586304941926,1.78148203543726
"question_1620",-1.45599828953752,1.38318887549709
"question_1622",-0.976474317553262,1.5092992553955
"question_1623",-1.89308885593951,1.22779225251267
"question_1624",-2.49705224201938,1.36249014627377
"question_1625",-1.61937798988009,1.84392971256078
"question_1626",-2.56809620913368,1.7234709736027
"question_1627",-1.40392079235011,1.61099770371516
"question_1628",-0.711562836473361,1.94585997308486
"question_1629",0.604430083510963,0.921278940979454
"question_1631",-0.71882006836695,1.40586141207258
"question_1632",-1.59145063776791,1.62532926151581
"question_1633",-0.64294300639092,1.62780213557164
"question_1634",-0.606619501948482,0.970215410186083
"question_1635",-1.42040200279911,2.0284142249339
"question_1636",-1.60166748461815,1.8450888701052
"question_1637",-1.50750607905131,1.58339707910637
"question_1638",-0.0386190897114797,1.60417974102308
"question_1639",-0.132081599059397,1.38664125401356
"question_1640",-1.99967240450076,1.00009890646896
"question_1641",-1.57055077413074,1.22109101677563
"question_1642",0.396965310357328,0.887476911550636
"question_1643",-0.425342618502972,1.32804976132278
"question_1644",-1.00744819233269,0.891565540782261
"question_1645",0.121140775241481,0.924166687997537
"question_1646",0.428240759338476,1.05472708861059
"question_1647",0.421113679322829,0.857611215419836
"question_1648",4.24985671463267,0.531621859536589
"question_1649",0.196263296564779,1.65047416258282
"question_1650",-0.0746285803886508,1.64743835024673
"question_1651",1.33880502253579,0.658257841470927
